,boardId,clusterWidgets,wordTotal,widgetCount,studyType,topicTask,suggestionsOffered,suggestionsQueried,queriesNotFromMiro,queriesFromMiro,Cluster,Line,Note,Topic Task,averageDistance,Information Widgets,Sensemaking Widgets,clusterWidgetsTotals,clusterWordTotals,avgWebpagesVisitedAfterQuery,timeDiffBtwnFirstSuggandNextQuery
0,o9J_lth3zkI=,9.0,622,34,On Board,Space Travel,13,7.0,4.0,12.0,0.0,0.0,7.0,0.0,929.8682951990733,30,9.0,5.0,150.25,1.1666666666666667,0 days 00:08:08.627147
1,o9J_lth9DEA=,2.0,181,13,Sidebar,Space Travel,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,14,2.0,,,,
2,o9J_lthxoK8=,0.0,181,13,Sidebar,COVID-19,7,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1463.4261234607645,13,,,,5.0,0 days 00:00:38.239193
3,o9J_lthxoSw=,6.0,193,26,On Board,COVID-19,14,6.0,12.0,8.0,0.0,0.0,6.0,0.0,540.1469201281764,23,7.0,5.166666666666667,61.666666666666664,0.875,0 days 00:00:26.446113
4,o9J_lwMyp0I=,7.0,572,27,Sidebar,COVID-19,26,5.0,1.0,5.0,0.0,0.0,4.0,1.0,736.7384481127148,28,7.0,4.75,125.25,1.4,0 days 00:26:43.048953
5,o9J_lwT0kWk=,8.0,278,8,On Board,Space Travel,22,4.0,2.0,4.0,0.0,1.0,3.0,0.0,2341.642387237008,8,15.0,0.0,0.0,1.25,0 days 00:00:03.796207
6,o9J_lwT45Gc=,19.0,272,27,On Board,COVID-19,16,14.0,6.0,18.0,0.0,3.0,11.0,0.0,1039.4075048876603,28,25.0,5.428571428571429,69.14285714285714,0.7222222222222222,0 days 00:01:46.441228
7,o9J_lwT45UE=,4.0,168,24,Sidebar,COVID-19,12,3.0,3.0,5.0,2.0,0.0,1.0,0.0,2257.548215974678,26,8.0,3.0,38.0,1.2,0 days 00:03:14.764139
8,o9J_lwTEkh4=,0.0,3,3,Sidebar,COVID-19,11,5.0,0.0,5.0,0.0,0.0,5.0,0.0,1744.01447262621,3,,,,1.0,0 days 00:06:07.517520
9,o9J_lwTEnSI=,10.0,320,24,On Board,Space Travel,21,13.0,9.0,14.0,1.0,2.0,10.0,0.0,846.3975038860742,24,10.0,4.5,73.75,1.8571428571428572,0 days 00:00:11.614301
10,o9J_lwTEnZk=,9.0,364,23,Sidebar,COVID-19,20,4.0,1.0,4.0,1.0,0.0,3.0,0.0,1578.4921924755347,24,9.0,,,3.0,0 days 00:11:14.515405
11,o9J_lwTHmNo=,6.0,124,12,Sidebar,COVID-19,15,8.0,2.0,9.0,0.0,2.0,6.0,0.0,913.9145202445052,12,6.0,,,0.4444444444444444,0 days 00:00:21.352971
12,o9J_lwTHmtQ=,0.0,121,6,Sidebar,Space Travel,14,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1876.2891898717962,6,,,,2.3333333333333335,0 days 00:09:40.360709
